method,precision,recall,f1,roc_auc,threshold,tp,fp,fn,tn,n_beats,anomaly_rate
Spectral features,0.297326668115627,0.5018341892883346,0.37341340248396343,0.773128639771194,1.7598838131431338,2736,6466,2716,37774,49692,0.10971584963374387
CUSUM (k=0.5),0.41024488878903614,0.33492296404988997,0.3687771382409371,0.6799411293232803,81.18191843646277,1826,2625,3626,41615,49692,0.10971584963374387
Z-score (10s window),0.6518467852257182,0.1747982391782832,0.2756725484524154,0.6146893914040537,4.679648408507917,953,509,4499,43731,49692,0.10971584963374387
Random baseline,0.10973415546345901,0.9955979457079971,0.19768013547717464,0.4995879583317302,0.004741392911873921,5428,44037,24,203,49692,0.10971584963374387
Z-score (1s window),0.10963575824841086,0.9965150403521643,0.19753849510062355,0.2744220064903103,1.5332234316614792,5433,44122,19,118,49692,0.10971584963374387
